AUC 0.09373
Cutoff 1.00: frr=1.0000; faph=0.000
Cutoff 0.79: frr=0.0000; faph=0.187
Cutoff 0.65: frr=0.0000; faph=0.375
Cutoff 0.62: frr=0.0000; faph=0.562
Cutoff 0.58: frr=0.0000; faph=0.750
Cutoff 0.56: frr=0.0000; faph=1.125
Cutoff 0.53: frr=0.0000; faph=1.312
Cutoff 0.51: frr=0.0000; faph=1.687
Cutoff 0.51: frr=0.0000; faph=2.000
