AUC 0.10049
Cutoff 1.00: frr=1.0000; faph=0.000
Cutoff 0.93: frr=0.0035; faph=0.187
Cutoff 0.89: frr=0.0035; faph=0.375
Cutoff 0.77: frr=0.0035; faph=0.562
Cutoff 0.72: frr=0.0035; faph=0.750
Cutoff 0.67: frr=0.0035; faph=0.937
Cutoff 0.53: frr=0.0035; faph=1.125
Cutoff 0.39: frr=0.0035; faph=1.312
Cutoff 0.37: frr=0.0035; faph=1.500
Cutoff 0.35: frr=0.0035; faph=1.687
Cutoff 0.31: frr=0.0035; faph=1.875
Cutoff 0.30: frr=0.0035; faph=2.000
