AUC 0.29042
Cutoff 1.00: frr=1.0000; faph=0.000
Cutoff 0.99: frr=0.0070; faph=0.562
Cutoff 0.96: frr=0.0062; faph=0.750
Cutoff 0.94: frr=0.0054; faph=0.937
Cutoff 0.92: frr=0.0050; faph=1.125
Cutoff 0.88: frr=0.0046; faph=1.312
Cutoff 0.83: frr=0.0044; faph=1.687
Cutoff 0.82: frr=0.0044; faph=1.875
Cutoff 0.82: frr=0.0044; faph=2.000
