AUC 0.00019
Cutoff 0.75: frr=0.0020; faph=0.000
Cutoff 0.53: frr=0.0000; faph=0.187
Cutoff 0.48: frr=0.0000; faph=0.562
Cutoff 0.46: frr=0.0000; faph=0.750
Cutoff 0.43: frr=0.0000; faph=1.125
Cutoff 0.41: frr=0.0000; faph=1.312
Cutoff 0.39: frr=0.0000; faph=1.500
Cutoff 0.38: frr=0.0000; faph=1.687
Cutoff 0.32: frr=0.0000; faph=1.875
Cutoff 0.32: frr=0.0000; faph=2.000
