AUC 0.00332
Cutoff 0.92: frr=0.0035; faph=0.000
Cutoff 0.89: frr=0.0035; faph=0.187
Cutoff 0.82: frr=0.0035; faph=0.375
Cutoff 0.42: frr=0.0018; faph=0.562
Cutoff 0.35: frr=0.0018; faph=0.750
Cutoff 0.30: frr=0.0018; faph=0.937
Cutoff 0.27: frr=0.0018; faph=1.125
Cutoff 0.22: frr=0.0018; faph=1.312
Cutoff 0.20: frr=0.0000; faph=1.500
Cutoff 0.18: frr=0.0000; faph=1.687
Cutoff 0.17: frr=0.0000; faph=1.875
Cutoff 0.17: frr=0.0000; faph=2.000
